sa4_code_2021, num_mvs_ns, num_mvs_per_dweling_2_mvs, num_mvs_per_dweling_1_mvs, num_mvs_per_dweling_3_mvs, total_dwelings, num_mvs_per_dweling_tot, num_mvs_per_dweling_0_mvs, num_mvs_per_dweling_4mo_mvs
"101",1433,34432,29923,13207,91076,89641,3745,8333
"102",1884,47282,49354,15539,131713,129832,8428,9222
"103",1436,29367,26459,11389,80039,78599,4415,6964
"104",1031,20747,20702,6929,55888,54862,2765,3719
"105",975,14653,14761,5333,41704,40727,2794,3183
"106",1390,41605,34440,15555,107191,105799,4534,9670
"107",1423,43415,40332,14442,116785,115366,8458,8721
"108",2132,32416,35583,10718,91662,89528,4895,5908
"109",961,17681,16762,6136,47684,46723,2738,3410
"110",1445,24726,23874,9189,68894,67443,4081,5571
"111",1743,57359,52978,17978,149852,148111,9690,10105
"112",1771,36525,36511,12062,98479,96709,4998,6613
"113",1101,21926,19618,8461,59571,58469,3310,5144
"114",965,23753,22787,7966,62790,61823,2524,4800
"115",700,35045,22248,12938,82862,82157,2054,9870
"116",1939,46472,43820,14725,122728,120787,8201,7568
"117",2515,22230,68141,3983,144616,142102,46138,1605
"118",1453,27510,48271,6120,103014,101567,16919,2749
"119",3670,60492,81935,19440,200853,197187,24484,10828
"120",1533,31319,56112,7266,116784,115252,17190,3370
"121",1353,50843,72366,12501,159847,158497,17099,5688
"122",909,35922,34394,10793,94377,93468,6126,6233
"123",1279,36360,30387,13420,95914,94629,5382,9078
"124",1432,43012,40327,15156,117044,115612,7324,9792
"125",3246,48357,68974,14095,161771,158523,19646,7456
"126",805,23048,33270,5977,74041,73235,8102,2837
"127",2460,49844,44416,19712,140189,137728,11265,12487
"128",736,32909,28033,10259,83097,82361,4709,6453
"201",989,25292,23570,9214,68196,67205,3418,5716
"202",923,24497,21702,9074,64792,63872,2954,5644
"203",1567,50162,41856,15246,123332,121772,5748,8763
"204",1537,27375,22520,10583,71790,70255,2944,6824
"205",2172,44197,39667,16471,118088,115913,5493,10083
"206",3596,56001,135870,11055,279332,275732,68064,4744
"207",1392,52298,54425,13823,139003,137614,10231,6840
"208",1676,62504,65810,15077,163682,162007,11504,7109
"209",2417,75140,65106,23721,190761,188340,10776,13595
"210",2095,55717,46384,18647,141191,139091,7375,10972
"211",1864,77959,58327,25893,187508,185637,7192,16264
"212",4041,114738,88117,38950,281345,277308,13771,21736
"213",4403,108442,100238,33845,280854,276445,16295,17618
"214",1557,47335,40288,14802,117669,116113,5367,8328
"215",1358,21605,19398,8728,60251,58896,3409,5754
"216",1114,18904,16635,7676,51776,50654,2479,4967
"217",912,18767,16311,7484,50664,49755,2343,4854
"301",950,35361,27911,12571,88042,87093,4073,7178
"302",1155,32759,33339,9089,86969,85817,6158,4474
"303",1680,51104,48225,15207,132271,130595,8544,7516
"304",502,27471,23162,8055,66633,66130,3554,3889
"305",1495,34846,58072,8308,122548,121049,15891,3940
"306",1948,34343,33662,11199,92302,90351,5556,5593
"307",969,17069,14882,7347,47044,46071,1989,4790
"308",1496,30712,26604,11843,81435,79936,4051,6726
"309",3408,90516,82846,29889,234344,230935,11063,16618
"310",2005,48263,40654,17522,124395,122396,6074,9885
"311",2102,44186,36746,17742,118053,115957,5603,11674
"312",1288,24038,19449,9319,61880,60591,2609,5179
"313",1489,34366,35459,12857,97938,96446,5474,8289
"314",681,32095,22763,11107,75186,74507,2313,6223
"315",979,7771,8631,2904,25379,24405,3105,1997
"316",2005,58810,52021,19806,149772,147765,5737,11399
"317",748,22515,21317,7806,60232,59485,3358,4482
"318",1453,33058,29133,11219,85284,83833,4707,5707
"319",2380,42475,43834,15606,119749,117366,6442,9009
"401",1156,43713,45560,13599,122507,121349,10583,7896
"402",2293,61312,59230,20970,167280,164985,11788,11685
"403",1520,56251,53215,17825,147512,145992,9267,9432
"404",1158,34369,38648,10383,98750,97590,8952,5245
"405",745,16760,14800,6892,46018,45274,2085,4743
"406",774,10880,10843,4109,31665,30896,2718,2353
"407",1274,27924,26222,11171,77577,76307,3805,7190
"501",1107,27744,22327,10474,69965,68856,2473,5842
"502",662,15176,15863,5248,41734,41079,1947,2852
"503",708,24248,31627,6307,72762,72055,6868,3010
"504",1234,39572,32652,13924,100273,99040,4494,8405
"505",2397,87186,70356,28003,211386,208988,8484,14957
"506",2457,74431,63873,25575,190049,187592,9039,14674
"507",1924,65996,55329,20968,162413,160486,7327,10866
"509",1006,18559,15139,8264,50866,49862,1847,6045
"510",753,8740,7442,3335,24437,23686,2459,1708
"511",923,15127,13253,5799,40843,39914,2173,3562
"601",1206,33276,34159,12249,94980,93773,6549,7531
"602",1109,21214,20614,8662,60352,59239,3370,5380
"603",279,6217,4603,2755,16209,15922,416,1924
"604",768,16577,16315,6574,46876,46109,2679,3971
"701",968,18287,15735,6310,47297,46326,2579,3413
"702",797,6061,8224,2095,23364,22564,5045,1136
"801",1484,64634,65446,18290,168400,166921,9273,9278
"901",61,524,558,208,1533,1469,62,115
